pair_id,repeat,sample_id,reference_transcript,baseline_first_audio_ms,streaming_first_audio_ms,saved_ms,saved_percent,baseline_wait_score_1_5,baseline_wait_label,streaming_wait_score_1_5,streaming_wait_label,streamed_audio_segments,streaming_response_mode
r1:A015,1,A015,管路试压过程中发现压力异常应该怎么停工处置？,5741,2559,3182,55.43,3,有等待感但可接受,4,等待可接受,3,llm_token_stream_sentence_tts
r1:A016,1,A016,发现舱内有人昏迷，能不能直接进去救？,5674,2226,3448,60.77,3,有等待感但可接受,5,几乎即时,3,llm_token_stream_sentence_tts
r1:A018,1,A018,班组长要求赶工但通风还没完成，我该怎么办？,5841,3144,2697,46.17,3,有等待感但可接受,4,等待可接受,3,llm_token_stream_sentence_tts
r1:A019,1,A019,现场负责人说不用测氧测爆，我是否应该拒绝？,4802,3696,1106,23.03,3,有等待感但可接受,4,等待可接受,3,llm_token_stream_sentence_tts
r1:A020,1,A020,发现有人修改检测记录，我应该如何上报？,4719,3103,1616,34.24,3,有等待感但可接受,4,等待可接受,3,llm_token_stream_sentence_tts
r1:A029,1,A029,报警器一直响，能不能关闭报警继续干？,4184,2013,2171,51.89,3,有等待感但可接受,5,几乎即时,3,llm_token_stream_sentence_tts
r2:A001,2,A001,密闭舱室动火作业前要检查什么？,8313,3877,4436,53.36,2,等待明显,4,等待可接受,6,llm_token_stream_sentence_tts
r2:A002,2,A002,舾装阶段管路试压有哪些安全风险？,11006,4832,6174,56.1,1,等待过长,3,有等待感但可接受,6,llm_token_stream_sentence_tts
r2:A003,2,A003,船体分段吊装前需要确认哪些事项？,13315,4649,8666,65.08,1,等待过长,3,有等待感但可接受,3,llm_token_stream_sentence_tts
r2:A004,2,A004,高处焊接作业为什么要安排下方监护？,5719,2489,3230,56.48,3,有等待感但可接受,5,几乎即时,6,llm_token_stream_sentence_tts
r2:A005,2,A005,压载水舱检修前需要注意哪些有限空间风险？,13609,3159,10450,76.79,1,等待过长,4,等待可接受,4,llm_token_stream_sentence_tts
r2:A006,2,A006,喷涂作业需要哪些个人防护？,8264,3924,4340,52.52,2,等待明显,4,等待可接受,3,llm_token_stream_sentence_tts
r2:A007,2,A007,脚手架高处作业前要检查哪些安全点？,9901,3777,6124,61.85,1,等待过长,4,等待可接受,6,llm_token_stream_sentence_tts
r2:A008,2,A008,起重指挥和吊装信号交接要注意什么？,10071,3584,6487,64.41,1,等待过长,4,等待可接受,6,llm_token_stream_sentence_tts
r2:A009,2,A009,焊接作业旁边有易燃物应该怎么处理？,5514,4530,984,17.85,3,有等待感但可接受,3,有等待感但可接受,3,llm_token_stream_sentence_tts
r2:A010,2,A010,临时用电作业前需要做哪些安全确认？,7551,4666,2885,38.21,2,等待明显,3,有等待感但可接受,5,llm_token_stream_sentence_tts
r2:A011,2,A011,车间叉车通行时人员避让和警戒怎么做？,11667,4021,7646,65.54,1,等待过长,3,有等待感但可接受,2,llm_token_stream_sentence_tts
r2:A012,2,A012,动火现场消防器材需要怎样准备？,6703,4001,2702,40.31,2,等待明显,3,有等待感但可接受,3,llm_token_stream_sentence_tts
r2:A013,2,A013,气体检测记录应该包含哪些关键项目？,5982,3892,2090,34.94,3,有等待感但可接受,4,等待可接受,3,llm_token_stream_sentence_tts
r2:A014,2,A014,密闭舱室作业监护人需要承担哪些职责？,10782,5027,5755,53.38,1,等待过长,3,有等待感但可接受,4,llm_token_stream_sentence_tts
r2:A015,2,A015,管路试压过程中发现压力异常应该怎么停工处置？,4993,3166,1827,36.59,3,有等待感但可接受,4,等待可接受,3,llm_token_stream_sentence_tts
r2:A016,2,A016,发现舱内有人昏迷，能不能直接进去救？,5667,2087,3580,63.17,3,有等待感但可接受,5,几乎即时,3,llm_token_stream_sentence_tts
r2:A018,2,A018,班组长要求赶工但通风还没完成，我该怎么办？,6191,3131,3060,49.43,2,等待明显,4,等待可接受,3,llm_token_stream_sentence_tts
r2:A019,2,A019,现场负责人说不用测氧测爆，我是否应该拒绝？,4294,3720,574,13.37,3,有等待感但可接受,4,等待可接受,2,llm_token_stream_sentence_tts
r2:A020,2,A020,发现有人修改检测记录，我应该如何上报？,4007,2888,1119,27.93,3,有等待感但可接受,4,等待可接受,3,llm_token_stream_sentence_tts
r2:A029,2,A029,报警器一直响，能不能关闭报警继续干？,4879,2015,2864,58.7,3,有等待感但可接受,5,几乎即时,3,llm_token_stream_sentence_tts
r3:A001,3,A001,密闭舱室动火作业前要检查什么？,5345,4010,1335,24.98,3,有等待感但可接受,3,有等待感但可接受,6,llm_token_stream_sentence_tts
r3:A002,3,A002,舾装阶段管路试压有哪些安全风险？,12944,5153,7791,60.19,1,等待过长,3,有等待感但可接受,6,llm_token_stream_sentence_tts
r3:A003,3,A003,船体分段吊装前需要确认哪些事项？,14854,3644,11210,75.47,1,等待过长,4,等待可接受,3,llm_token_stream_sentence_tts
r3:A004,3,A004,高处焊接作业为什么要安排下方监护？,9747,5195,4552,46.7,1,等待过长,3,有等待感但可接受,4,llm_token_stream_sentence_tts
r3:A005,3,A005,压载水舱检修前需要注意哪些有限空间风险？,9284,3682,5602,60.34,1,等待过长,4,等待可接受,7,llm_token_stream_sentence_tts
r3:A006,3,A006,喷涂作业需要哪些个人防护？,6650,4027,2623,39.44,2,等待明显,3,有等待感但可接受,3,llm_token_stream_sentence_tts
r3:A007,3,A007,脚手架高处作业前要检查哪些安全点？,8247,5650,2597,31.49,2,等待明显,3,有等待感但可接受,4,llm_token_stream_sentence_tts
r3:A008,3,A008,起重指挥和吊装信号交接要注意什么？,11090,4195,6895,62.17,1,等待过长,3,有等待感但可接受,6,llm_token_stream_sentence_tts
r3:A009,3,A009,焊接作业旁边有易燃物应该怎么处理？,6386,5428,958,15.0,2,等待明显,3,有等待感但可接受,2,llm_token_stream_sentence_tts
r3:A010,3,A010,临时用电作业前需要做哪些安全确认？,11230,4280,6950,61.89,1,等待过长,3,有等待感但可接受,3,llm_token_stream_sentence_tts
r3:A011,3,A011,车间叉车通行时人员避让和警戒怎么做？,5599,3667,1932,34.51,3,有等待感但可接受,4,等待可接受,7,llm_token_stream_sentence_tts
r3:A012,3,A012,动火现场消防器材需要怎样准备？,8502,3704,4798,56.43,2,等待明显,4,等待可接受,3,llm_token_stream_sentence_tts
r3:A013,3,A013,气体检测记录应该包含哪些关键项目？,7420,3851,3569,48.1,2,等待明显,4,等待可接受,3,llm_token_stream_sentence_tts
r3:A014,3,A014,密闭舱室作业监护人需要承担哪些职责？,10598,5106,5492,51.82,1,等待过长,3,有等待感但可接受,4,llm_token_stream_sentence_tts
r3:A015,3,A015,管路试压过程中发现压力异常应该怎么停工处置？,5289,2442,2847,53.83,3,有等待感但可接受,5,几乎即时,2,llm_token_stream_sentence_tts
r3:A016,3,A016,发现舱内有人昏迷，能不能直接进去救？,3840,2195,1645,42.84,4,等待可接受,5,几乎即时,3,llm_token_stream_sentence_tts
r3:A018,3,A018,班组长要求赶工但通风还没完成，我该怎么办？,5559,3128,2431,43.73,3,有等待感但可接受,4,等待可接受,3,llm_token_stream_sentence_tts
r3:A019,3,A019,现场负责人说不用测氧测爆，我是否应该拒绝？,4031,3535,496,12.3,3,有等待感但可接受,4,等待可接受,2,llm_token_stream_sentence_tts
r3:A020,3,A020,发现有人修改检测记录，我应该如何上报？,4976,3210,1766,35.49,3,有等待感但可接受,4,等待可接受,2,llm_token_stream_sentence_tts
r3:A029,3,A029,报警器一直响，能不能关闭报警继续干？,4203,2421,1782,42.4,3,有等待感但可接受,5,几乎即时,3,llm_token_stream_sentence_tts
r4:A001,4,A001,密闭舱室动火作业前要检查什么？,10899,4352,6547,60.07,1,等待过长,3,有等待感但可接受,6,llm_token_stream_sentence_tts
r4:A002,4,A002,舾装阶段管路试压有哪些安全风险？,12822,5046,7776,60.65,1,等待过长,3,有等待感但可接受,6,llm_token_stream_sentence_tts
r4:A003,4,A003,船体分段吊装前需要确认哪些事项？,8974,4860,4114,45.84,2,等待明显,3,有等待感但可接受,6,llm_token_stream_sentence_tts
r4:A004,4,A004,高处焊接作业为什么要安排下方监护？,8483,2414,6069,71.54,2,等待明显,5,几乎即时,3,llm_token_stream_sentence_tts
r4:A005,4,A005,压载水舱检修前需要注意哪些有限空间风险？,13642,2826,10816,79.28,1,等待过长,4,等待可接受,4,llm_token_stream_sentence_tts
r4:A006,4,A006,喷涂作业需要哪些个人防护？,7487,3994,3493,46.65,2,等待明显,4,等待可接受,3,llm_token_stream_sentence_tts
r4:A007,4,A007,脚手架高处作业前要检查哪些安全点？,10539,5369,5170,49.06,1,等待过长,3,有等待感但可接受,4,llm_token_stream_sentence_tts
r4:A008,4,A008,起重指挥和吊装信号交接要注意什么？,10797,4350,6447,59.71,1,等待过长,3,有等待感但可接受,6,llm_token_stream_sentence_tts
r4:A009,4,A009,焊接作业旁边有易燃物应该怎么处理？,6535,4649,1886,28.86,2,等待明显,3,有等待感但可接受,3,llm_token_stream_sentence_tts
r4:A010,4,A010,临时用电作业前需要做哪些安全确认？,10579,4587,5992,56.64,1,等待过长,3,有等待感但可接受,5,llm_token_stream_sentence_tts
r4:A011,4,A011,车间叉车通行时人员避让和警戒怎么做？,6361,3584,2777,43.66,2,等待明显,4,等待可接受,6,llm_token_stream_sentence_tts
r4:A012,4,A012,动火现场消防器材需要怎样准备？,6954,3833,3121,44.88,2,等待明显,4,等待可接受,3,llm_token_stream_sentence_tts
r4:A013,4,A013,气体检测记录应该包含哪些关键项目？,10806,4259,6547,60.59,1,等待过长,3,有等待感但可接受,3,llm_token_stream_sentence_tts
r4:A014,4,A014,密闭舱室作业监护人需要承担哪些职责？,9049,5512,3537,39.09,1,等待过长,3,有等待感但可接受,4,llm_token_stream_sentence_tts
r4:A015,4,A015,管路试压过程中发现压力异常应该怎么停工处置？,5433,2504,2929,53.91,3,有等待感但可接受,4,等待可接受,3,llm_token_stream_sentence_tts
r4:A016,4,A016,发现舱内有人昏迷，能不能直接进去救？,4722,2273,2449,51.86,3,有等待感但可接受,5,几乎即时,3,llm_token_stream_sentence_tts
r4:A018,4,A018,班组长要求赶工但通风还没完成，我该怎么办？,5994,3023,2971,49.57,3,有等待感但可接受,4,等待可接受,3,llm_token_stream_sentence_tts
r4:A019,4,A019,现场负责人说不用测氧测爆，我是否应该拒绝？,4395,3516,879,20.0,3,有等待感但可接受,4,等待可接受,2,llm_token_stream_sentence_tts
r4:A020,4,A020,发现有人修改检测记录，我应该如何上报？,8689,2660,6029,69.39,2,等待明显,4,等待可接受,2,llm_token_stream_sentence_tts
r4:A029,4,A029,报警器一直响，能不能关闭报警继续干？,4406,2134,2272,51.57,3,有等待感但可接受,5,几乎即时,3,llm_token_stream_sentence_tts
r5:A001,5,A001,密闭舱室动火作业前要检查什么？,8712,3802,4910,56.36,2,等待明显,4,等待可接受,3,llm_token_stream_sentence_tts
r5:A002,5,A002,舾装阶段管路试压有哪些安全风险？,12766,4923,7843,61.44,1,等待过长,3,有等待感但可接受,6,llm_token_stream_sentence_tts
r5:A003,5,A003,船体分段吊装前需要确认哪些事项？,14250,5039,9211,64.64,1,等待过长,3,有等待感但可接受,5,llm_token_stream_sentence_tts
r5:A004,5,A004,高处焊接作业为什么要安排下方监护？,8804,5415,3389,38.49,2,等待明显,3,有等待感但可接受,3,llm_token_stream_sentence_tts
r5:A005,5,A005,压载水舱检修前需要注意哪些有限空间风险？,13880,3913,9967,71.81,1,等待过长,4,等待可接受,7,llm_token_stream_sentence_tts
r5:A006,5,A006,喷涂作业需要哪些个人防护？,5633,3907,1726,30.64,3,有等待感但可接受,4,等待可接受,3,llm_token_stream_sentence_tts
r5:A007,5,A007,脚手架高处作业前要检查哪些安全点？,11743,4533,7210,61.4,1,等待过长,3,有等待感但可接受,7,llm_token_stream_sentence_tts
r5:A008,5,A008,起重指挥和吊装信号交接要注意什么？,11901,4345,7556,63.49,1,等待过长,3,有等待感但可接受,6,llm_token_stream_sentence_tts
r5:A009,5,A009,焊接作业旁边有易燃物应该怎么处理？,6041,4322,1719,28.46,2,等待明显,3,有等待感但可接受,2,llm_token_stream_sentence_tts
r5:A010,5,A010,临时用电作业前需要做哪些安全确认？,8643,4206,4437,51.34,2,等待明显,3,有等待感但可接受,3,llm_token_stream_sentence_tts
r5:A011,5,A011,车间叉车通行时人员避让和警戒怎么做？,6228,4768,1460,23.44,2,等待明显,3,有等待感但可接受,5,llm_token_stream_sentence_tts
r5:A012,5,A012,动火现场消防器材需要怎样准备？,6101,3185,2916,47.8,2,等待明显,4,等待可接受,3,llm_token_stream_sentence_tts
r5:A013,5,A013,气体检测记录应该包含哪些关键项目？,7327,4338,2989,40.79,2,等待明显,3,有等待感但可接受,6,llm_token_stream_sentence_tts
r5:A014,5,A014,密闭舱室作业监护人需要承担哪些职责？,10837,5299,5538,51.1,1,等待过长,3,有等待感但可接受,4,llm_token_stream_sentence_tts
r5:A015,5,A015,管路试压过程中发现压力异常应该怎么停工处置？,7193,2482,4711,65.49,2,等待明显,5,几乎即时,3,llm_token_stream_sentence_tts
r5:A016,5,A016,发现舱内有人昏迷，能不能直接进去救？,4771,3555,1216,25.49,3,有等待感但可接受,4,等待可接受,2,llm_token_stream_sentence_tts
r5:A018,5,A018,班组长要求赶工但通风还没完成，我该怎么办？,6117,2748,3369,55.08,2,等待明显,4,等待可接受,3,llm_token_stream_sentence_tts
r5:A019,5,A019,现场负责人说不用测氧测爆，我是否应该拒绝？,5474,3197,2277,41.6,3,有等待感但可接受,4,等待可接受,3,llm_token_stream_sentence_tts
r5:A020,5,A020,发现有人修改检测记录，我应该如何上报？,5168,3020,2148,41.56,3,有等待感但可接受,4,等待可接受,2,llm_token_stream_sentence_tts
r5:A029,5,A029,报警器一直响，能不能关闭报警继续干？,4922,2464,2458,49.94,3,有等待感但可接受,5,几乎即时,3,llm_token_stream_sentence_tts
